seq,rank,name,industry,headquarters,country,ceo,founded,employees,revenue($M),profits($M),assets($M),mkt_value($M),forbes_webpage
31,31,China Mobile,Telecommunications Services,Hong Kong,Hong Kong,Xin Dong,1997,"449,934","131,490","17,970","283,370","147,050",china-mobile
32,32,Comcast,Media & Advertising,"Philadelphia, Pennsylvania",United States,Brian L. Roberts,1963,"132,300","116,390","14,160","275,900","205,720",comcast
33,33,Alibaba Group,Retailing,Hangzhou,China,Yong Zhang,1999,"251,462","129,760","10,170","276,250","237,780",alibaba-group
34,34,Meta Platforms,"IT, Internet, Software & Services","Menlo Park, California",United States,Mark Zuckerberg,2004,"71,970","117,930","39,370","165,990","499,860",meta-platforms
35,35,Allianz,Insurance,Munich,Germany,Oliver Bäte,1890,"124,063","138,620","7,810","1,324,620","96,420",allianz
36,36,Morgan Stanley,Banking and Financial Services,"New York, New York",United States,James Gorman,1931,"75,000","60,220","14,580","1,222,230","150,950",morgan-stanley
37,37,Goldman Sachs Group,Diversified Financials,"New York, New York",United States,David Michael Solomon,1869,"43,900","62,810","18,740","1,589,000","109,320",goldman-sachs-group
38,38,HSBC Holdings,Banking,London,United Kingdom,Noel Paul Quinn,1865,"220,000","59,330","12,580","2,957,940","135,300",hsbc-holdings
39,39,BNP Paribas,Banking,Paris,France,Jean-Laurent Bonnafé,1953,"205,771","127,420","9,850","2,995,890","68,760",bnp-paribas
40,40,Johnson & Johnson,Drugs & Biotechnology,"New Brunswick, New Jersey",United States,Joaquin Duato,1886,"144,300","94,880","19,830","182,020","477,380",johnson-johnson
41,41,Mercedes-Benz Group,Consumer Durables,Stuttgart,Germany,Ola Källenius,1883,"172,425","178,940","27,190","295,480","74,620",mercedes-benz-group
42,42,CVS Health,Retailing,"Woonsocket, Rhode Island",United States,Karen S. Lynch,1963,"300,000","291,980","7,910","240,500","133,530",cvs-health
43,43,Pfizer,Drugs & Biotechnology,"New York, New York",United States,Albert Bourla,1849,"29,000","81,490","21,980","181,480","271,830",pfizer
44,44,Softbank,Telecommunications Services,Tokyo,Japan,Masayoshi Son,1981,"58,786","96,860","20,870","418,940","71,690",softbank
45,45,Sinopec,Oil & Gas Operations,Beijing,China,Fu Chengyu,2000,"385,691","384,820","11,040","292,050","80,810",sinopec
46,46,RBC,Banking and Financial Services,Toronto,Canada,David McKay,1864,"89,000","45,240","13,000","1,377,940","147,920",rbc
47,47,Nestlé,"Food, Soft Beverages, Alcohol & Tobacco",Vevey,Switzerland,Ulf Mark Schneider,1866,"273,000","95,250","18,490","152,710","360,010",nestle
48,48,AXA Group,Insurance,Paris,France,Thomas Buberl,1816,"110,477","145,190","8,390","839,850","65,750",axa-group
49,49,Gazprom,Oil & Gas Operations,St. Petersburg,Russia,Alexei Borisovich Miller,1989,"477,600","117,300","25,440","360,470","63,560",gazprom
50,50,BP,"Construction, Oil & Gas Operations, Mining and Chemicals",London,United Kingdom,Bernard Looney,1909,"65,900","158,010","7,550","287,270","98,380",bp
51,51,Intel,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Santa Clara, California",United States,Patrick Gelsinger,1968,"121,100","79,020","19,870","168,410","190,290",intel
52,52,TD Bank Group,Banking and Financial Services,Toronto,Canada,Bharat Masrani,1855,"90,000","38,510","11,780","1,398,480","132,990",td-bank-group
53,53,Nippon Telegraph & Tel,Telecommunications Services,Tokyo,Japan,Jun Sawada,1952,"324,667","110,390","10,150","204,460","103,980",nippon-tel-tel
54,54,Reliance Industries,Oil & Gas Operations,Mumbai,India,Mukesh Dhirubhai Ambani,1973,"236,334","86,850","7,810","192,590","228,630",reliance-industries
55,55,Industrial Bank,Banking,Fuzhou,China,Yiping Tao,1988,"62,537","60,530","12,820","1,350,320","68,590",industrial-bank
56,56,Sony,Electronics,Tokyo,Japan,Kenichiro Yoshida,1946,"110,000","89,900","7,990","260,480","108,840",sony
57,57,Santander,Banking and Financial Services,Madrid,Spain,José Antonio Álvarez,1857,"200,651","78,220","9,600","1,814,780","58,210",santander
58,58,Mitsubishi UFJ Financial,Banking,Tokyo,Japan,Hironori Kamezawa,2005,"138,161","48,280","11,290","3,176,370","75,750",mitsubishi-ufj-financial
59,58,Taiwan Semiconductor,Semiconductors,Hsinchu,Taiwan,Che Chia Wei,1987,"65,152","61,470","23,630","139,350","494,600",taiwan-semiconductor
60,60,Ford Motor,Automotive (Automotive and Suppliers),"Oakville, Ontario",Canada,James D. Farley Jr.,1903,"183,000","136,340","17,940","257,040","60,800",ford-motor
61,61,LVMH Moët Hennessy Louis Vuitton,"Clothing, Shoes, Sports Equipment",Paris,France,Bernard Arnault,1987,"80,000","75,900","14,230","142,500","346,800",lvmh-moet-hennessy-louis-vuitton
62,62,Bank of Communications,Banking,Shanghai,China,Ren Deqi,1908,"90,238","76,000","12,980","1,830,400","52,820",bank-of-communications
63,63,Procter & Gamble,Packaged Goods,"Cincinnati, Ohio",United States,Jon R. Moeller,1837,"27,560","79,620","14,600","120,220","386,530",procter-gamble
64,64,BMW Group,Automotive (Automotive and Suppliers),Munich,Germany,Oliver Zipse,1916,"120,000","131,480","14,640","277,280","55,980",bmw-group
65,65,Petrobras,Oil & Gas Operations,Rio de Janeiro,Brazil,José Mauro Ferreira,1953,"45,532","83,890","19,770","174,680","83,980",petrobras
66,66,Deutsche Telekom,"Telecommunications Services, Cable Supplier",Bonn,Germany,Timotheus Höttges,1995,"217,000","128,590","4,930","340,560","91,720",deutsche-telekom
67,67,AbbVie,Drugs & Biotechnology,"North Chicago, Illinois",United States,Richard A. Gonzalez,2013,"50,000","56,200","11,460","146,530","273,760",abbvie
68,68,Novartis,Drugs & Biotechnology,Basel,Switzerland,Vasant Narasimhan,1996,"108,000","51,630","24,140","135,880","200,730",novartis
69,69,General Motors,Automotive (Automotive and Suppliers),"Detroit, Michigan",United States,Mary T. Barra,1908,"94,448","127,000","10,020","244,720","57,890",general-motors
70,70,Equinor,Oil & Gas Operations,Stavanger,Norway,Anders Opedal,1972,"21,126","88,370","8,570","147,120","117,870",equinor
71,71,China Life Insurance,Insurance,Beijing,China,Heng Xuan Su,2003,"103,262","130,500","7,870","769,880","43,020",china-life-insurance
72,72,Roche Holding,Drugs & Biotechnology,Basel,Switzerland,Severin Schwan,1896,"100,920","68,690","15,240","101,320","308,140",roche-holding
73,73,AIA Group,Insurance,Hong Kong,Hong Kong,Yuan Xiang Li,1919,"23,000","45,160","7,430","334,880","120,190",aia-group
74,74,MetLife,Insurance,"New York, New York",United States,Michel A. Khalaf,1868,"43,000","71,080","6,550","759,710","57,390",metlife
75,75,BHP Group,"Construction, Oil & Gas Operations, Mining and Chemicals",Melbourne,Australia,Mike Henry,1885,"80,000","65,550","16,920","105,720","178,070",bhp-group-ltd
76,76,The Home Depot,Retail and Wholesale,"Atlanta, Georgia",United States,Edward P. Decker,1978,"490,600","151,160","16,430","71,880","310,130",the-home-depot
77,77,American Express,Banking and Financial Services,"New York, New York",United States,Stephen J. Squeri,1850,"22,000","46,290","7,860","196,000","136,720",american-express
78,77,Siemens,"Engineering, Manufacturing",Munich,Germany,Roland Emil Busch,1847,"303,000","76,460","6,550","164,220","102,230",siemens
79,79,Stellantis,Automotive (Automotive and Suppliers),Amsterdam,Netherlands,Carlos Tavares,2021,"22,000","176,610","16,780","195,330","44,260",stellantis
80,79,Zurich Insurance Group,Insurance,Zurich,Switzerland,Mario Greco,1872,"56,000","69,580","5,210","410,150","69,220",zurich-insurance-group
81,81,Rosneft,Oil & Gas Operations,Moscow,Russia,Igor Ivanovich Sechin,1993,na,"111,400","11,980","219,410","48,790",rosneft
82,82,Rio Tinto,"Construction, Oil & Gas Operations, Mining and Chemicals",London,United Kingdom,Jakob Stausholm,1873,"49,350","63,460","21,060","102,900","117,780",rio-tinto
83,83,Brookfield Asset Management,Banking and Financial Services,Toronto,Canada,Bruce Flatt,1997,"150,000","78,820","3,970","391,000","80,940",brookfield-asset-management
84,84,Cigna,Insurance,"Bloomfield, Connecticut",United States,David Cordani,1792,"65,593","174,270","5,370","151,020","81,200",cigna
85,85,Prudential Financial,Banking and Financial Services,"Newark, New Jersey",United States,Charles F. Lowrey,1875,"15,364","70,930","7,610","937,580","43,600",prudential-financial
86,86,PepsiCo,"Food, Soft Beverages, Alcohol & Tobacco","Purchase, New York",United States,Ramon L. Laguarta,1965,"129,000","79,470","7,620","92,380","238,130",pepsico
87,87,Merck & Co.,Drugs & Biotechnology,"Kenilworth, New Jersey",United States,Robert M. Davis,1891,"27,000","50,370","13,050","105,690","213,830",merck-co
88,88,Elevance Health,Insurance,"Indianapolis, Indiana",United States,Gail K. Boudreaux,2004,"98,200","144,350","6,240","100,490","121,250",elevance-health
89,89,Bank of Nova Scotia,Banking,Toronto,Canada,Brian Johnston Porter,1832,"89,488","30,350","7,960","979,300","80,580",bank-of-nova-scotia
90,90,American International Group,Insurance,"New York, New York",United States,Peter S. Zaffino,1919,"36,600","52,060","9,390","521,830","48,730",american-international-group
91,91,Glencore International,Materials,Baar,Switzerland,Gary Nagle,1974,"135,000","203,410","5,000","127,510","79,900",glencore-international
92,92,Cisco Systems,na,"San Jose, California",United States,Chuck Robbins,1984,"83,300","51,550","11,820","94,260","213,360",cisco-systems
93,93,Anheuser-Busch InBev,"Food, Soft Beverages, Alcohol & Tobacco",Leuven,Belgium,Michel Dimitrios Doukeris,2008,"169,000","54,330","4,660","219,370","118,520",anheuser-busch-inbev
94,94,Walt Disney,Media & Advertising,"Burbank, California",United States,Bob Chapek,1923,"190,000","72,980","3,080","203,310","215,330",walt-disney
95,95,Chubb,Insurance,Zurich,Switzerland,Evan G. Greenberg,1985,"31,000","40,950","8,540","181,750","87,310",chubb
96,95,CITIC,Trading Companies,Hong Kong,Hong Kong,Zhen Ming Chang,1979,"310,000","91,210","9,030","1,370,590","31,960",citic
97,95,Lloyds Banking Group,Banking,London,United Kingdom,Charlie Nunn,2009,"57,955","58,480","7,360","1,200,750","41,340",lloyds-banking-group
98,98,IBM,na,"Armonk, New York",United States,Arvind Krishna,1911,"345,000","67,250","5,520","133,280","124,330",ibm
99,99,Sanofi,Drugs & Biotechnology,Paris,France,Paul Hudson,2004,"100,000","44,630","7,360","136,740","136,860",sanofi
100,100,United Parcel Service,Transportation and Logistics,"Atlanta, Georgia",United States,Carol Tomé,1907,"534,000","97,200","12,890","69,410","163,030",united-parcel-service
101,101,British American Tobacco,"Food, Drink & Tobacco",London,United Kingdom,Jack Bowles,1902,"55,981","35,320","9,340","186,050","97,490",british-american-tobacco
102,101,UBS,Banking and Financial Services,Zurich,Switzerland,Ralph Hamers,1862,"71,385","35,220","7,450","1,117,180","56,170",ubs
103,103,Honda Motor,Automotive (Automotive and Suppliers),Tokyo,Japan,Jean Marc Leclerc,1969,"204,035","130,160","7,240","193,220","44,990",honda-motor
104,104,Mitsubishi,Trading Companies,Tokyo,Japan,Takehiko Kakiuchi,1870,"82,997","146,940","5,900","178,130","50,870",mitsubishi
105,105,China State Construction Engineering,Construction,Beijing,China,Xiang Ming Wang,1982,"335,038","205,790","5,870","374,720","36,910",china-state-construction-engineering
106,105,State Bank of India,Banking,Mumbai,India,Swaminathan Janakiraman,1955,"245,652","54,420","4,320","696,510","58,390",state-bank-of-india
107,107,Commonwealth Bank,Banking,Sydney,Australia,Matthew Comyn,1911,"44,375","21,850","8,390","835,970","130,340",commonwealth-bank
108,108,Shanghai Pudong Development,Banking,Shanghai,China,Guo Fu Gao,1992,"61,686","54,770","8,470","1,247,940","36,600",shanghai-pudong-development
109,109,Raytheon Technologies,Aerospace & Defense,"Waltham, Massachusetts",United States,Gregory J. Hayes,1922,"125,280","64,360","3,860","161,400","149,760",raytheon-technologies
110,110,Enel,Utilities,Rome,Italy,Francesco Starace,1962,"66,279","99,410","3,770","235,330","65,840",enel
111,111,Eni,Oil & Gas Operations,Rome,Italy,Claudio Descalzi,1953,"30,775","90,500","7,240","156,990","52,280",eni
112,112,Capital One,Banking,"McLean, Virginia",United States,Richard Fairbank,1994,"50,767","32,120","12,290","432,380","54,880",capital-one
113,113,Bristol Myers Squibb,Drugs & Biotechnology,"New York, New York",United States,Giovanni Caforio,1933,"32,200","46,380","6,990","109,310","160,980",bristol-myers-squibb
114,114,Coca-Cola,"Food, Soft Beverages, Alcohol & Tobacco","Atlanta, Georgia",United States,James Quincey,1886,"9,400","38,730","9,770","94,350","282,860",coca-cola
115,115,Oracle,na,"Austin, Texas",United States,Safra A. Catz,1977,"7,000","41,830","7,560","108,640","203,340",oracle
116,116,Sberbank,Banking,Moscow,Russia,Herman Oskarovich Gref,1841,"287,866","57,370","16,970","548,830","33,980",sberbank
117,117,Bank of Montreal,Banking and Financial Services,Montreal,Canada,Darryl White,1817,"43,863","26,530","6,920","804,510","72,740",bank-of-montreal
118,118,Vale,"Construction, Oil & Gas Operations, Mining and Chemicals",Rio de Janeiro,Brazil,Eduardo Bartolomeo,1902,"72,266","54,400","22,470","89,610","82,030",vale
119,119,EDF,Utilities,Paris,France,Jean-Bernard Levy,1955,"165,790","99,830","6,040","410,490","35,090",edf
120,120,Thermo Fisher Scientific,Drugs & Biotechnology,"Waltham, Massachusetts",United States,Marc N. Casper ,1983,"67,000","39,210","7,720","95,120","219,710",thermo-fisher-scientific
121,121,Credit Agricole,Banking and Financial Services,Montrouge,France,Philippe Brassac,1894,"147,000","73,610","6,490","2,358,500","31,420",credit-agricole
122,122,AIRBUS,"Engineering, Manufacturing",Leiden,Netherlands,Guillaume Faury,1970,"126,495","61,640","4,980","129,160","88,600",airbus
123,123,Costco Wholesale,Retail and Wholesale,"Issaquah, Washington",United States,W. Craig Jelinek,1983,"202,000","210,220","5,510","63,080","253,390",costco-wholesale
124,124,Hon Hai Precision,Technology Hardware & Equipment,New Taipei,Taiwan,Yang-wei Liu,1974,na,"214,600","4,990","141,280","49,040",hon-hai-precision
125,125,Unilever,Packaged Goods,London,United Kingdom,Alan Jope,1929,"148,000","62,000","7,150","85,400","116,160",unilever
126,126,Charter Communications,Media,"Stamford, Connecticut",United States,Thomas M. Rutledge,1993,"93,700","51,680","4,650","143,390","97,920",charter-communications
127,127,Sumitomo Mitsui Financial,Banking,Tokyo,Japan,Jun Ohta,2002,"86,781","35,500","6,400","2,176,620","42,330",sumitomo-mitsui-financial
128,128,ConocoPhillips,"Construction, Oil & Gas Operations, Mining and Chemicals","Houston, Texas",United States,Ryan Lance,1875,"9,400","46,060","8,080","90,660","124,430",conocophillips
129,129,GlaxoSmithKline,Drugs & Biotechnology,London,United Kingdom,Emma Walmsley,1830,"90,096","46,920","6,030","107,140","112,090",glaxosmithkline
130,130,Intesa Sanpaolo,Banking,Turin,Italy,Carlo Messina,2007,"108,043","47,840","4,950","1,215,670","41,420",intesa-sanpaolo
131,131,Manulife,Banking and Financial Services,Toronto,Canada,Roy Gori,1887,"38,000","47,170","5,670","691,180","39,760",manulife
132,132,US Bancorp,Banking,"Minneapolis, Minnesota",United States,Andrew J. Cecere,1929,"68,796","23,120","7,210","586,520","75,480",us-bancorp
133,133,BASF,Chemicals,Ludwigshafen am Rhein,Germany,Martin Brudermüller,1865,"111,047","92,900","6,530","102,410","51,780",basf
134,134,CNOOC,Oil & Gas Operations,Hong Kong,Hong Kong,Xin Huai Zhou,1999,"19,086","37,770","10,910","123,420","62,600",cnooc
135,135,Abbott Laboratories,Health Care Equipment & Services,"Chicago, Illinois",United States,Robert Ford,1888,"33,900","44,510","7,700","75,200","210,980",abbott-laboratories
136,136,Iberdrola,Utilities,Bilbao,Spain,José Ignacio Sánchez Galán,1992,"45,000","46,230","4,630","161,200","70,260",iberdrola
137,137,China Shenhua Energy,Materials,Beijing,China,Zhi Ren Lu,2004,"77,872","52,020","8,000","95,810","62,810",china-shenhua-energy
138,138,Itaú Unibanco Holding,Banking,São Paulo,Brazil,Milton Maluhy Filho,1944,"99,600","35,960","4,960","372,300","52,890",itau-unibanco-holding
139,139,Caterpillar,"Engineering, Manufacturing","Deerfield, Illinois",United States,James Umpleby,1925,"107,700","50,980","6,490","82,790","115,910",caterpillar
140,140,Mitsui,Trading Companies,Tokyo,Japan,Kenichi Hori,1947,"44,509","108,310","7,010","119,730","40,830",mitsui
141,141,Itochu,Trading Companies,Tokyo,Japan,Masahiro Okafuji,1858,"125,944","107,990","6,520","102,180","45,950",itochu
142,142,Charles Schwab,Banking and Financial Services,"San Francisco, California",United States,Walter W. Bettinger II,1971,"35,200","18,980","5,770","681,000","127,600",charles-schwab
143,143,Truist Financial,Banking,"Charlotte, North Carolina",United States,William H. Rogers Jr.,1872,"164,497","23,190","6,440","544,340","67,640",truist-financial
144,144,Enbridge,Utilities,Calgary,Canada,Al Monaco,1949,"12,000","37,550","4,940","133,690","90,920",enbridge
145,145,Hitachi,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Tokyo,Japan,Toshiaki Higashihara,1910,"368,247","91,900","5,870","116,570","45,780",hitachi
146,146,KDDI,Telecommunications Services,Tokyo,Japan,", Tomonari Sato",1984,"47,320","49,170","5,980","94,140","74,120",kddi
147,147,Hyundai Motor,Consumer Durables,Seoul,South Korea,Chung Eui-sun,1967,"71,982","102,700","4,320","196,800","37,610",hyundai-motor
148,148,China Citic Bank,Banking,Chaoyang,China,He Ying Fang,1987,"55,419","56,990","8,630","1,261,960","25,260",china-citic-bank
149,148,Visa,Banking and Financial Services,"San Francisco, California",United States,Alfred F. Kelly Jr.,1958,"21,500","25,480","12,840","81,930","436,490",visa
150,150,Target,Retail and Wholesale,"Minneapolis, Minnesota",United States,Brian Cornell,1902,"450,000","106,000","6,950","53,810","111,760",target
151,151,BBVA-Banco Bilbao Vizcaya,Banking,Madrid,Spain,Onur Genç,1999,"110,432","41,980","5,040","753,830","35,280",bbva-banco-bilbao-vizcaya
152,151,tesla,Automotive (Automotive and Suppliers),"Palo Alto, California",United States,Elon Musk,2003,"99,290","53,820","5,520","62,130","1,038,730",tesla
153,153,Deere & Company,Automotive (Automotive and Suppliers),"Moline, Illinois",United States,John C. May,1837,"75,600","44,450","5,640","79,610","123,810",john-deere
154,154,HDFC Bank,Banking,Mumbai,India,Sashidhar Jagdishan,1994,"141,579","22,510","5,110","280,160","98,280",hdfc-bank
155,155,Barclays,Banking and Financial Services,London,United Kingdom,C. S. Venkatakrishnan,1896,"83,500","30,170","8,770","1,874,940","31,550",barclays
156,156,Munich Re,Banking and Financial Services,Munich,Germany,Joachim Wenning PhD,1880,"39,281","84,880","3,470","358,970","35,480",munich-re
157,157,Japan Post Holdings,Insurance,Tokyo,Japan,Hiroya Masuda,1871,"243,612","103,580","3,930","2,614,330","26,560",japan-post-holdings
158,158,Walgreens,Retail and Wholesale,"Deerfield, Illinois",United States,Stefano Pessina,1901,"315,000","135,950","6,290","92,680","39,340",walgreens
159,159,Danaher,"Engineering, Manufacturing","Washington, District of Columbia",United States,Rainer M. Blair,1984,"80,000","30,280","6,460","83,390","189,400",danaher
160,160,Generali Group,Insurance,Trieste,Italy,Philippe Donnet,1831,"75,000","102,130","3,370","664,520","31,360",generali-group
161,161,Møller-Maersk,Transportation,Copenhagen,Denmark,Søren Skou,2009,"2,852","61,950","18,040","72,270","51,410",moller-maersk
162,162,Lowe's,Retail and Wholesale,"Mooresville, North Carolina",United States,Marvin Ellison,1946,"300,000","96,250","8,410","46,330","130,370",lowes
163,163,FedEx,Transportation and Logistics,"Memphis, Tennessee",United States,Frederick W. Smith,1971,"600,000","91,550","5,130","84,110","53,190",fedex
164,164,Deutsche Post,Transportation,Bonn,Germany,Frank Appel,1995,"592,263","96,620","5,970","75,140","55,040",deutsche-post
165,165,PNC Financial Services,Banking,"Pittsburgh, Pennsylvania",United States,William S. Demchak,1845,"59,426","19,930","5,250","541,250","71,900",pnc-financial-services
166,166,Broadcom,Semiconductors,"San Jose, California",United States,Hock E. Tan,1961,"20,000","28,500","7,830","73,220","239,640",broadcom
167,167,LukOil,Oil & Gas Operations,Moscow,Russia,Vadim Nikolayevich Vorobyov,1991,na,"125,110","10,490","92,490","32,170",lukoil
168,167,Medtronic,Health Care Equipment & Services,Dublin,Ireland,Geoffrey Straub Martha,1949,"90,000","31,790","4,910","91,800","144,620",medtronic
169,169,SAP,na,"Newton Square, Pennsylvania",United States,Christian Klein,1972,"110,000","33,180","5,640","80,930","124,020",sap
170,170,SK Hynix,Semiconductors,Icheon,South Korea,Seok-Hee Lee,1949,"30,135","37,550","8,390","81,080","61,310",sk-hynix
171,171,ENGIE,Oil & Gas Operations,La Defense,France,Catherine MacGregor,2008,"171,474","68,400","4,330","256,250","31,500",engie
172,172,Lockheed Martin,na,"Bethesda, Maryland",United States,James D. Taiclet,1995,"116,000","65,750","6,210","51,510","118,820",lockheed-martin
173,173,BlackRock,Diversified Financials,"New York, New York",United States,Laurence Douglas Fink,1988,"18,400","20,300","6,140","152,650","100,800",blackrock
174,174,Westpac Banking Group,Banking,Sydney,Australia,Peter Francis King,1817,"40,143","20,460","4,100","677,030","61,420",westpac-banking
175,175,Duke Energy,Utilities,"Charlotte, North Carolina",United States,Lynn J. Good,1904,"27,605","25,100","3,910","174,180","87,980",duke-energy
176,176,Dell Technologies,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment","Round Rock, Texas",United States,Michael Dell,1984,"42,560","106,840","5,560","92,730","35,640",dell-technologies
177,177,VINCI,"Construction, Oil & Gas Operations, Mining and Chemicals",Nanterre,France,Xavier Huillard,1899,"219,299","59,080","3,070","113,750","56,870",vinci
178,178,Tokio Marine Holdings,Insurance,Tokyo,Japan,Satoru Komiya,1879,"43,257","50,570","3,850","234,910","35,190",tokio-marine-holdings
179,179,América Móvil,"Telecommunications Services, Cable Supplier",Mexico City,Mexico,Daniel Hajj Aboumrad,2000,"181,205","48,370","4,110","82,450","67,840",america-movil
180,180,E.ON,Utilities,Essen,Germany,Leonhard Birnbaum,2000,"72,000","91,440","5,540","151,170","28,520",eon
181,181,Anglo American,Materials,London,United Kingdom,Duncan Graham Wanblad,1917,"63,698","41,520","8,540","65,980","59,440",anglo-american
182,182,Banco Bradesco,Banking,Osasco,Brazil,Octávio de Lazari Jr.,1943,"87,274","28,330","4,070","296,890","43,160",banco-bradesco
183,183,ING Group,Diversified Financials,Amsterdam,Netherlands,Steven van Rijswijk,1991,"56,000","21,490","5,650","1,081,810","39,030",ing-group
184,184,Accenture,na,Dublin,Ireland,Julie Sweet,1989,"738,000","56,700","6,390","44,320","196,860",accenture
185,185,Honeywell International,"Engineering, Manufacturing","Charlotte, North Carolina",United States,Darius Adamczyk,1927,"34,000","34,390","5,540","64,470","130,670",honeywell-international
186,186,Mizuho Financial,Banking,Tokyo,Japan,Masahiro Kihara,2003,"54,492","26,760","5,420","1,957,580","31,380",mizuho-financial
187,187,Linde,Chemicals,Guildford,United Kingdom,Sanjiv Lamba,1879,"72,327","30,790","3,830","81,610","157,260",linde
188,188,ArcelorMittal,Materials,Luxembourg,Luxembourg,Aditya Mittal,2006,"157,909","76,650","14,990","90,510","28,980",arcelormittal
189,189,Canadian Imperial Bank,Banking,Toronto,Canada,Victor Dodig,1867,"45,282","18,660","5,330","677,510","51,210",canadian-imperial-bank
